lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
occipital mid,4,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,2,2,0.119,0.1333,0.02381,15,12
occipital mid,5,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,1,1,0.0714,0.0667,0.02381,15,12
occipital mid,6,LOcC_L(R)_4_3,OPC,occipital polar cortex,LOcC,203,204,1,1,0.0714,0.0667,0.02381,15,12
occipital parietal junction,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.375,1.0,0.125,1,6
occipital pole,1,LOcC_L(R)_4_3,OPC,occipital polar cortex,LOcC,203,204,19,28,0.3514,0.38,0.00901,50,11
occipital pole,2,MVOcC_L(R)_5_3,cCunG,caudal cuneus gyrus,MVOcC,193,194,15,18,0.2793,0.3,0.00901,50,11
occipital pole,3,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,LOcC,199,200,7,8,0.1351,0.14,0.00901,50,11
occipital pole,4,LOcC_L(R)_2_1,msOccG,medial superior occipital gyrus,LOcC,207,208,4,4,0.0811,0.08,0.00901,50,11
occipital pole,5,MVOcC_L(R)_5_1,cLinG,caudal lingual gyrus,MVOcC,189,190,3,3,0.0631,0.06,0.00901,50,11
occipital pole,6,LOcC_L(R)_4_4,iOccG,inferior occipital gyrus,LOcC,205,206,2,2,0.045,0.04,0.00901,50,11
occipital pole and cerebellum,1,LOcC_L(R)_4_3,OPC,occipital polar cortex,LOcC,203,204,1,1,0.375,1.0,0.125,1,6
occipital pole and lingual gyrus,1,MVOcC_L(R)_5_1,cLinG,caudal lingual gyrus,MVOcC,189,190,1,1,0.4286,1.0,0.14286,1,5
occipital region,1,LOcC_L(R)_4_4,iOccG,inferior occipital gyrus,LOcC,205,206,1,1,0.375,1.0,0.125,1,6
occipital sup,1,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,2,4,0.3571,0.5,0.07143,4,6
occipital sup,2,LOcC_L(R)_2_1,msOccG,medial superior occipital gyrus,LOcC,207,208,1,1,0.2143,0.25,0.07143,4,6
