lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
subgenual acc ba 25,U,1,2,0.0,
subgenual acca,L,1,1,1.0,1.0
subgenual acca,R,1,1,0.0,1.0
subgenual anterior cingulate cortex,U,1,3,0.3333,
subgenual anterior cingulate cortex ba 25,U,1,2,0.0,
subgenual cingulate,L,1,1,1.0,1.0
subgenual cortex,U,1,1,0.0,
subcallosal gyrus 34,U,1,1,0.0,
subcallosal gyrus wm,L,1,1,1.0,1.0
subcc,U,1,1,0.0,
subcentral gyrus,U,1,1,0.0,
subcentral gyrusb,U,1,1,0.0,
subcortex white matter,U,1,1,0.0,
subcortical ifg,R,1,2,0.0,1.0
sube,U,1,3,0.6667,
sub lobar,R,1,1,0.0,1.0
sub lobar amygdala,L,1,1,1.0,1.0
sub lobar amygdala,R,1,1,0.0,1.0
sub lobar caudate,L,1,1,1.0,1.0
subacc,U,1,1,1.0,
subcallosal cingulate,U,1,1,1.0,
subcallosal cortex,L,1,1,1.0,1.0
subcallosal gyrus,L,1,2,1.0,1.0
ba 24 32,U,1,1,0.0,
ba 24 anterior cingulate cortex,U,1,1,1.0,
ba 28,U,1,1,1.0,
ba 29,U,1,1,1.0,
ba 3 parietal gyrus,L,1,1,1.0,1.0
ba 31,U,1,10,0.6,
ba 31 posterior cingulate cortex,L,1,1,1.0,1.0
ba 31 precuneus,L,1,1,1.0,1.0
ba 19 secondary visual cortex,U,1,1,1.0,
ba 19 visual cortex,U,1,2,0.5,
ba 2,U,1,2,0.5,
ba 21 middle temporal gyrus,U,1,2,0.5,
ba 22,L,1,1,1.0,1.0
ba 22 2,U,1,1,1.0,
ba 22 temporal gyrus,R,1,1,0.0,1.0
ba 24,R,1,1,0.0,1.0
sup fr gy,U,1,12,0.0833,
sup fr gy g,U,1,1,0.0,
sup fr gy o,U,1,1,1.0,
sup fr gy p,U,1,1,0.0,
sup fr gye,U,1,1,0.0,
sup fr gyh,U,1,2,0.0,
ba 19 2viscx,U,1,1,0.0,
ba 19 inferior occipital gyrus,L,1,1,1.0,1.0
substantia nigra,L,1,1,1.0,1.0
substantia nigra,R,1,1,0.0,1.0
substantia nigra,U,1,1,0.0,
subthamic nucleus,L,1,1,1.0,1.0
sulcus,U,1,2,1.0,
sulcus intermedius primus of jensen,U,1,2,1.0,
sup and mid fr gy,U,1,1,0.0,
sup and mid temporal,U,1,1,1.0,
sup occipital gyrus,R,1,2,0.0,1.0
sup par,U,1,1,1.0,
sup par lobule,U,1,1,0.0,
sup par lobulek,U,1,1,0.0,
sup parietal,R,1,2,0.0,1.0
sup parietal gyrus,U,1,2,0.5,
sup parietal lobe,L,1,1,1.0,1.0
sup parietal lobe,R,1,1,0.0,1.0
sup frontal orb,R,1,2,0.0,1.0
sup frontal sulcus,L,1,1,1.0,1.0
sup ft,R,1,2,0.0,1.0
sup lateral occipital cortex,U,1,1,0.0,
sup loc,U,1,4,0.75,
sup medial frontal,R,1,1,0.0,1.0
sup medial frontal gyrus,L,1,1,1.0,1.0
sup motor area,U,1,2,1.0,
sup fr gyo,U,1,1,0.0,
sup fr gys,U,1,3,0.3333,
sup front,U,1,1,1.0,
sup front gyrus,U,1,1,1.0,
sup frontal g 1,L,1,1,1.0,1.0
sup frontal g 2,L,1,1,1.0,1.0
sup frontal med gyrus,U,1,1,1.0,
sup frontal orb,L,1,1,1.0,1.0
ba 32,L,1,2,1.0,1.0
ba 32,R,1,1,0.0,1.0
ba 32 acc,U,1,1,0.0,
ba 32 anterior cingulate cortex,U,1,1,0.0,
ba 36,U,1,1,0.0,
ba 37 middle temporal gyrus,L,1,1,1.0,1.0
ba 37 primary visual cortex,U,1,1,0.0,
sup fr gyl,U,1,1,0.0,
associative visual cortex,U,1,1,0.0,
astg,L,1,1,1.0,1.0
astg,R,1,1,0.0,1.0
astg,U,1,2,0.0,
asts,U,1,1,1.0,
atl,U,1,1,0.0,
atp,U,1,1,1.0,
auditory and somatosensory cortex,R,1,1,0.0,1.0
super marginal gyrus,U,1,1,1.0,
superior,L,1,2,1.0,1.0
superior and inferior parietal,U,1,1,1.0,
superior and inferior parietal sulcus,U,1,1,1.0,
artifact,U,1,7,0.4286,
asfg,B,1,1,0.0,
asg,U,1,2,1.0,
aspl,R,1,2,0.0,1.0
sup temporal g,R,1,1,0.0,1.0
sup temporal gyrus,L,1,4,1.0,1.0
sup temporal gyrusb,U,1,1,0.0,
sup temporal pole,L,1,1,1.0,1.0
sup temporal pole,R,1,1,0.0,1.0
sup temporal pole,U,1,3,1.0,
sup temporal sulcus,U,1,1,1.0,
sup tp,R,1,1,0.0,1.0
sup temp,R,1,1,0.0,1.0
sup temp g,U,1,1,0.0,
sup temp gy,U,1,4,0.25,
sup temp gym,U,1,1,0.0,
sup temp gyp,U,1,2,0.5,
sup temp gyq,U,1,1,0.0,
sup temp gyrus,R,1,1,0.0,1.0
sup temporal,U,1,2,0.0,
superior caudate,L,1,1,1.0,1.0
superior cerebellar peduncle,U,1,1,1.0,
superior cingulate sulcus,U,1,3,1.0,
superior circular sulcus of the insula,U,1,1,0.0,
superior cluster,U,1,1,0.0,
superior colliculus,U,1,1,0.0,
superior corona radiata,U,1,1,0.0,
superior frontal 1,L,1,1,1.0,1.0
superior and middle frontal gyrus ba 8 9,L,1,2,1.0,1.0
superior and middle temporal gyrus,R,1,1,0.0,1.0
superior and middle temporal gyrus 21,L,1,1,1.0,1.0
superior and middle temporal gyrus 22 21,L,1,1,1.0,1.0
superior and middle temporal gyrus 22 21,R,1,2,0.0,1.0
superior and middle temporal gyrus 42 22 21,R,1,1,0.0,1.0
superior anterior insula,L,1,1,1.0,1.0
superior anterior temporal cortex,U,1,1,1.0,
ba 18 secondary visual cortex,U,1,1,0.0,
ba 18 visual cortex,U,1,2,0.0,
ba 19 2vis cx,U,1,1,1.0,
superior and middle,L,1,1,1.0,1.0
superior and middle frontal gyrus,L,1,2,1.0,1.0
superior and middle frontal gyrus 10,L,1,1,1.0,1.0
superior and middle frontal gyrus 10,R,1,2,0.0,1.0
superior and middle frontal gyrus 11,R,1,1,0.0,1.0
ba 1,U,1,1,1.0,
ba 10,R,1,3,0.0,1.0
ba 10 medial frontal gyrus,R,1,1,0.0,1.0
ba 11,U,1,3,0.6667,
ba 13 insula,L,1,2,1.0,1.0
ba 17,U,1,1,0.0,
ba 18,U,1,4,0.5,
ba 18 lingual gyrus,R,1,1,0.0,1.0
anteroventral insula,R,1,1,0.0,1.0
apfc ba 10,L,1,2,1.0,1.0
apfc ba 10,R,1,1,0.0,1.0
area 10,U,1,1,0.0,
area 11,U,1,1,1.0,
area 14,U,1,1,1.0,
area 17,U,1,1,1.0,
area 18,U,1,1,1.0,
superior frontal gyrus and sulcus,U,1,1,0.0,
anterior transverse collateral sulcus,U,1,1,1.0,
anterior transverse temporal gyrus,L,1,1,1.0,1.0
anterior vlpfc ba 10,U,1,1,1.0,
anterior vmpfc,U,1,1,0.0,
anterolateral prefrontal cortex,U,1,3,0.6667,
anteromedial prefrontal cortex,U,1,1,1.0,
anteroventral insula,L,1,1,1.0,1.0
superior frontal gyrus 10,R,1,1,0.0,1.0
superior frontal gyrus 11,L,1,1,1.0,1.0
superior frontal gyrus 11,U,1,1,0.0,
superior frontal gyrus 1997,U,1,1,1.0,
superior frontal gyrus 24,U,1,1,0.0,
superior frontal gyrus 8,L,1,2,1.0,1.0
superior frontal gyrus 8 9,R,1,1,0.0,1.0
superior frontal gyrus 9 10,L,1,1,1.0,1.0
superior frontal cortex ba 10,U,1,1,1.0,
superior frontal cortex ba 6,U,1,1,1.0,
superior frontal ctx,U,1,2,1.0,
superior frontal g ba 6,U,1,1,1.0,
superior frontal g ba 8,U,1,2,0.0,
superior frontal g ba 9,U,1,1,0.0,
superior frontal gryus,U,1,1,1.0,
superior frontal gyr,U,1,1,1.0,
superior frontal orbital lobe ba 11,R,1,1,0.0,1.0
superior frontal region,U,1,1,1.0,
superior frontal sulc,U,1,3,1.0,
superior frontal sulcus,R,1,1,0.0,1.0
superior frontal sulcus 8,L,1,1,1.0,1.0
superior frontal tracts,R,1,1,0.0,1.0
superior gyrus,U,1,3,0.0,
superior lateral frontal gyrus,R,1,1,0.0,1.0
superior frontal gyrus orbital part,L,1,1,1.0,1.0
superior frontal gyrus orbital part,R,1,1,0.0,1.0
superior frontal gyrus wm,R,1,1,0.0,1.0
superior frontal gyrus3,U,1,1,0.0,
superior frontal lobe,R,1,1,0.0,1.0
superior frontal lobea,L,1,1,1.0,1.0
superior frontal medial cortex,U,1,2,0.5,
superior frontal medial gyrus,L,1,1,0.0,0.0
area tringularis,U,1,1,0.0,
area44,U,1,1,0.0,
armfc,U,1,1,0.0,
superior frontal gyrus ba 10,U,1,1,1.0,
superior frontal gyrus ba 6 8,L,1,1,0.0,0.0
superior frontal gyrus ba 9 1,U,1,2,0.5,
superior frontal gyrus ba 9 2,U,1,1,0.0,
superior frontal gyrus medial region,U,1,1,1.0,
area 19,U,1,1,0.0,
area 21,U,1,1,1.0,
area 22,U,1,2,0.5,
area 23,U,1,1,0.0,
area 4a,U,1,9,0.7778,
area 5,U,1,2,0.5,
area 8,U,1,2,0.5,
area 9,U,1,2,0.5,
anterior superior temporal sulcus,R,1,1,0.0,1.0
anterior supramarginal gyrus,R,1,2,0.0,1.0
anterior supramarginal gyrus,U,1,1,1.0,
anterior temporal,L,1,1,1.0,1.0
anterior temporal cortex,R,1,1,0.0,1.0
anterior temporal cortex,U,1,1,0.0,
anterior temporal fusiform cortex,U,1,1,1.0,
anterior temporal lobe,R,1,1,0.0,1.0
superior medial frontal lobe,R,1,1,0.0,1.0
anterior sts,B,1,1,0.0,
anterior superior frontal gyrus,U,1,1,1.0,
anterior superior frontal sulcus,L,1,1,1.0,1.0
anterior superior frontal sulcus,U,1,2,0.5,
anterior superior medial frontal gyrus,L,1,1,1.0,1.0
anterior superior medial frontal gyrus,R,1,1,0.0,1.0
anterior superior temporal lobe gm,U,1,1,0.0,
superior medial,L,1,3,1.0,1.0
superior medial,R,1,2,0.0,1.0
superior medial frontal cortex,L,1,1,1.0,1.0
superior medial frontal cortex,R,1,1,0.0,1.0
superior medial frontal cortex ba 10,U,1,1,0.0,
superior medial frontal gyrus 32,U,1,1,1.0,
superior medial frontal gyrus ba 8,L,1,1,0.0,0.0
superior medial frontal lobe,L,1,1,1.0,1.0
superior lateral occipital,L,1,2,1.0,1.0
superior lateral occipital,R,1,1,0.0,1.0
superior lateral occipital cortex and precuneous,U,1,1,1.0,
superior lateral occipital gyrus,R,1,1,0.0,1.0
superior lingual gyrus,U,1,2,0.5,
superior longitudinal fasciculus posterior part,R,1,1,0.0,1.0
superior longitudinal fasciculus temporal part,R,1,1,1.0,0.0
superior longitudinal fasciculus wm,U,1,1,1.0,
superior occipital gyrus ba 18,U,1,1,0.0,
anterior mtl,R,1,1,0.0,1.0
anterior mtl,U,1,1,1.0,
anterior nucleus,U,1,1,0.0,
anterior occipital cortex,U,1,2,0.0,
anterior occipital sulcus,L,1,1,1.0,1.0
anterior ofc,L,1,1,1.0,1.0
anterior ots,L,1,2,1.0,1.0
superior middle frontal,U,1,1,1.0,
superior middle frontal lobe,U,1,1,0.0,
superior motor area,U,1,2,1.0,
superior occipital,L,1,1,1.0,1.0
superior occipital cortexc,R,1,1,0.0,1.0
superior occipital g,U,1,5,1.0,
superior occipital gyrus 19,R,1,1,0.0,1.0
superior occipital gyrus 19,U,1,2,0.5,
superior medial gyrus ba 32,R,1,1,0.0,1.0
superior medial gyrus ba 9,L,1,2,1.0,1.0
superior medial pfc,R,1,1,0.0,1.0
superior medial pfc ba 8,L,1,1,1.0,1.0
superior medial pfc ba 9,L,1,1,1.0,1.0
superior medial prefrontal cortex,L,1,1,1.0,1.0
superior medial prefrontal cortex,R,1,1,0.0,1.0
superior medial prefrontal cortex,U,1,1,1.0,
anterior temporal pole,R,1,1,0.0,1.0
anterior temporal pole,U,1,1,0.0,
anterior thalamic projection,U,1,1,0.0,
anterior thalamic radiation,R,1,5,0.0,1.0
anterior to mid intraparietal sulcus,L,1,1,1.0,1.0
superior medial frontal lobe,U,1,2,0.0,
superior medial g,L,1,1,1.0,1.0
superior medial gyrus 9,U,1,1,1.0,
superior parietal ba 5,U,1,1,0.0,
superior parietal ba 7,R,1,1,0.0,1.0
superior parietal ba 7,U,1,2,0.5,
superior parietal cortex 7,U,1,2,1.0,
superior parietal cortex bi,U,1,1,0.0,
superior parietal lobe 7,U,1,4,1.0,
superior parietal lobea,R,1,4,0.0,1.0
superior parietal lobule 3,R,1,2,0.0,1.0
superior occipital gyrus ba 39,U,1,1,0.0,
superior occipital lobe,L,1,1,1.0,1.0
superior occipital lobe,R,1,1,0.0,1.0
superior orbital frontal gyrus ba 11,R,1,1,0.0,1.0
superior orbital gyrus,R,1,2,0.0,1.0
superior orbitofrontal,U,1,1,0.0,
superior orbitofrontal cortex,U,1,1,0.0,
superior orbitofrontal gyrus,U,1,1,1.0,
anterior prefrontal cortex,L,1,1,1.0,1.0
anterior prefrontal cortex and dorsolateral prefrontal cortex,U,1,1,0.0,
anterior putamen,L,1,1,1.0,1.0
anterior rostral medial frontal area,R,1,1,0.0,1.0
anterior segment of the circular sulcus of the insula,U,1,2,1.0,
anterior sma,B,1,1,0.0,
anterior stg,L,1,1,1.0,1.0
anterior stg 38,U,1,3,1.0,
anterior parahippocampal gyrus,R,1,1,0.0,1.0
anterior parahippocampus,R,1,2,0.0,1.0
anterior parietal region,U,1,2,1.0,
anterior parietal region 1997,U,1,1,1.0,
anterior part of the cingulate gyrus and sulcus,U,1,1,1.0,
anterior pfc ba 10,U,1,1,0.0,
anterior pre sma,U,1,1,0.0,
anterior prefrontal cortex,B,1,1,0.0,
anterior limb of internal capsule,U,1,1,0.0,
anterior limb of the internal capsule,R,1,1,0.0,1.0
anterior limb of the internal capsule,U,1,1,1.0,
anterior lingual gyrus,U,1,1,1.0,
anterior lobe of cerebellum,R,1,1,0.0,1.0
anterior medial frontal cortex,R,1,2,0.0,1.0
anterior medial pfc,U,1,1,0.0,
anterior median prefrontal cortex,R,1,2,0.0,1.0
superior pmc,U,1,1,1.0,
anterior insular cortex2,U,1,3,0.6667,
anterior ips,L,1,2,1.0,1.0
anterior itg,U,1,1,1.0,
anterior itg and fusiform,L,1,1,1.0,1.0
anterior lateral orbitofrontal cortex,U,1,1,0.0,
anterior lateral stg,L,1,1,1.0,1.0
anterior lateral stg,R,1,1,0.0,1.0
superior parietal lobule1,R,1,1,0.0,1.0
superior parietal lobule1,U,1,1,1.0,
superior parietal occipital cortex,L,1,1,1.0,1.0
superior parietal occipital cortex,R,1,1,0.0,1.0
superior parietallobule,R,1,1,0.0,1.0
superior parieto occipital cortex,L,1,1,1.0,1.0
superior part of the precentral sulcus,U,1,2,1.0,
superior patietal cortex,L,1,1,1.0,1.0
superior parietal lobule 5,L,1,1,1.0,1.0
superior parietal lobule 7pc,U,1,1,0.0,
superior parietal lobule ba 2 5,B,1,1,1.0,
superior parietal lobule ba 2 5,R,1,1,0.0,1.0
superior parietal lobule ba 5,R,1,1,0.0,1.0
superior parietal lobule ba 7,U,1,1,1.0,
superior parietal lobule ba 7 include precuneus ba 7,L,1,1,1.0,1.0
superior parietal lobule extending downward into the intra occipital sulcus,U,1,1,1.0,
superior temporal gyrus 22 42,R,1,1,0.0,1.0
superior temporal gyrus 38,U,1,1,1.0,
superior temporal gyrus 39,L,1,1,1.0,1.0
superior temporal gyrus 39,R,1,1,0.0,1.0
superior temporal gyrus 39,U,1,3,0.6667,
superior temporal gyrus 39 22,L,1,1,1.0,1.0
superior temporal gyrus 41,L,1,1,1.0,1.0
superior temporal gyrus 41,R,1,3,0.0,1.0
superior temporal cortex,R,1,1,0.0,1.0
superior temporal g ba 22,U,1,1,1.0,
superior temporal gurus,L,1,1,1.0,1.0
superior temporal gyr,U,1,1,0.0,
superior temporal gyrus,B,1,1,1.0,
superior temporal gyrus 21,R,1,1,0.0,1.0
superior temporal gyrus 21 22,L,1,1,1.0,1.0
superior temporal gyrus 22 42,L,1,1,1.0,1.0
superior precuneus,U,1,1,1.0,
superior prefontal ctx,U,1,1,1.0,
superior prefrontal gyrus,U,1,1,1.0,
superior segment of the circular sulcus of the insula,U,1,1,1.0,
superior sma,R,1,1,0.0,1.0
superior srontal g,L,1,1,1.0,1.0
superior temp gyrus,U,1,2,0.0,
superior temporal area,B,1,1,1.0,
anterior mid cingulate cortex,R,1,1,0.0,1.0
anterior midcingulate cortex,L,1,2,1.0,1.0
anterior midcingulate cortex,R,1,2,0.0,1.0
anterior middle temporal gyrus,L,1,1,1.0,1.0
anterior middle temporal gyrus,R,1,1,0.0,1.0
anterior mtg,R,1,1,0.0,1.0
superior precentral sulcus,L,1,4,1.0,1.0
superior precentral sulcus,R,1,3,0.0,1.0
anterior hippocampal roia,U,1,1,1.0,
anterior hippocampus,U,1,1,1.0,
anterior ifg,U,1,1,1.0,
anterior inferior frontal gyrus,U,1,1,1.0,
anterior inferior insula,U,1,2,0.5,
anterior inferior insula ba 13 14,U,1,4,1.0,
anterior inferior temporal gyrus,U,1,1,1.0,
anterior insula,B,1,1,0.0,
superior temporal gyrus ba 42,R,1,1,0.0,1.0
anterior dorsolateral prefrontal cortex,R,1,1,0.0,1.0
anterior dorsolateral prefrontal cortex,U,1,3,0.0,
anterior frontal,U,1,1,1.0,
anterior fusiform and itg,U,1,1,1.0,
anterior fusiform gyrus,R,1,1,0.0,1.0
anterior hc ba 34,U,1,1,1.0,
anterior hippocampal roi,U,1,1,1.0,
superior temporal gyrus ba 38,L,1,1,1.0,1.0
superior temporal gyrus ba 38,R,1,1,0.0,1.0
superior temporal gyrus ba 38,U,1,1,1.0,
superior temporal gyrus ba 39,U,1,1,1.0,
superior temporal gyrus ba 41,R,1,2,0.0,1.0
superior temporal gyrus ba 41 42,L,1,1,1.0,1.0
superior temporal gyrus ba 41 42 a,L,1,1,1.0,1.0
superior temporal gyrus ba 42,L,1,1,1.0,1.0
superior temporal gyrus 42,L,1,1,1.0,1.0
superior temporal gyrus 42,R,1,1,0.0,1.0
superior temporal gyrus 42 22,L,1,1,1.0,1.0
superior temporal gyrus 42 22,R,1,1,0.0,1.0
superior temporal gyrus and sulcus,R,1,1,0.0,1.0
superior temporal gyrus ant,U,1,1,0.0,
superior temporal gyrus anterior,U,1,1,0.0,
superior temporal gyrus ba 21,U,1,1,0.0,
superior temporalsulcus,U,1,1,0.0,
superior tg,U,1,2,1.0,
superior to middle frontal gyrus,U,1,1,0.0,
superiortemporal gyrus,U,1,1,1.0,
superiortemporalgyrus,U,1,1,0.0,
superor dlpfc,U,1,1,1.0,
supmgyrs,U,1,1,0.0,
supmidfg,U,1,1,1.0,
superior temporal pole gyrus ba 38,L,1,1,1.0,1.0
superior temporal sulcus 21,U,1,1,1.0,
superior temporal sulcus 22,U,1,1,0.0,
superior temporal sulcus anterior,R,1,1,0.0,1.0
superior temporal sulcus ba 22,R,1,1,0.0,1.0
superior temporal sulcus ba 22 21,U,1,1,1.0,
superior temporal sulcus posterior,R,1,1,0.0,1.0
superior temporalgyrus,U,1,2,1.0,
superior temporal gyrus cluster 2,R,1,1,0.0,1.0
superior temporal gyrus planum polare,U,1,2,1.0,
superior temporal gyrus planum temporale,U,1,3,1.0,
superior temporal gyrus posterior,U,1,1,1.0,
superior temporal gyrusb,U,1,1,1.0,
superior temporal gyrys,U,1,1,0.0,
superior temporal pole ba 22,R,1,2,0.0,1.0
superior temporal pole ba 38,U,1,1,1.0,
anterior insula 47,U,1,2,1.0,
anterior insula and inferior frontal operculum,U,1,2,0.0,
anterior insula ba 13,R,1,1,0.0,1.0
anterior insula cortex,L,1,1,1.0,1.0
anterior insula cortex,R,1,1,0.0,1.0
anterior insula cortex,U,1,2,0.5,
anterior insula short insular gyrus,U,1,2,1.0,
superior temporal gyrus ba 48,R,1,1,0.0,1.0
anterior cingulate gyrus ba 32,U,1,1,0.0,
anterior cingulate gyrus ba 9,L,1,1,1.0,1.0
anterior cingulate gyrus ba 9,R,1,1,0.0,1.0
anterior cingulate gyrusa,U,1,2,0.5,
anterior cingulate2,U,1,1,0.0,
anterior cingulated,U,1,1,0.0,
anterior cingulated cortex,U,1,1,1.0,
anterior cingulated gyrus,U,1,1,1.0,
anterior cingulate cortex4,U,1,1,0.0,
anterior cingulate g,U,1,1,0.0,
anterior cingulate g ba 32,U,1,1,0.0,
anterior cingulate gyrus 24,U,1,1,0.0,
anterior cingulate gyrus 32,U,1,1,0.0,
anterior cingulate gyrus and sulcus,U,1,1,1.0,
anterior cingulate gyrus ba 24,U,1,1,1.0,
anterior cingulate gyrus ba 32,R,1,2,0.0,1.0
supplemental motor,U,1,1,1.0,
supplemental motor area,R,1,1,0.0,1.0
supplementar motor area ba 6,U,1,1,0.0,
supplementary,R,1,1,0.0,1.0
supplementary mortor area,U,1,2,0.5,
supplementary motor area 6,L,1,1,1.0,1.0
supplementary motor area 6,U,1,1,0.0,
supplementary motor area ba 8,L,1,1,1.0,1.0
supp motor,L,1,1,1.0,1.0
supp temporal gyrus,L,1,1,1.0,1.0
supperior frontal,L,1,1,1.0,1.0
supperior frontal,R,1,1,0.0,1.0
supperior medial frontal,L,1,1,1.0,1.0
suppl motor,R,1,1,0.0,1.0
suppl motor area,L,1,2,1.0,1.0
suppl motor area,U,1,1,0.0,
supramarginal and angular gyrus,L,1,1,1.0,1.0
supramarginal ba 40,U,1,1,0.0,
supramarginal g ba 40,U,1,2,0.5,
supramarginal gy,U,1,1,0.0,
supramarginal gyr,U,1,3,0.6667,
supramarginal gyral,U,1,1,1.0,
supramarginal gyrus 2 40,U,1,1,1.0,
supramarginal gyrus 40,L,1,5,1.0,1.0
supra frontal gyrus,R,1,1,0.0,1.0
supra marginal,L,1,1,1.0,1.0
supra marginal,U,1,1,0.0,
supra marginal gyrus,L,1,1,1.0,1.0
supra marginal white matter,U,1,1,0.0,
supracalcarine cortex,R,1,1,0.0,1.0
suprae,U,1,4,0.75,
supramarg g,R,1,1,0.0,1.0
supplementary motor cortex,R,1,1,0.0,1.0
supplementary motor gyrus,U,1,1,1.0,
supplementary motora area,U,1,1,0.0,
supplementary motoro area,R,1,1,0.0,1.0
supplemetary motor area,U,1,1,1.0,
supr medial gyr,U,1,1,1.0,
supr parietal lobule,U,1,1,1.0,
supr temporal gyr,U,1,1,1.0,
anterior cingulum,L,1,1,1.0,1.0
anterior cingulum ba 24,U,1,1,1.0,
anterior cingulum ba 32,U,1,1,0.0,
anterior corona radiata,L,1,1,1.0,1.0
anterior corpus callosum,R,1,1,0.0,1.0
anterior dorsolateral prefrontal cortex,L,1,1,1.0,1.0
supplementary motor area ba 8,R,1,1,0.0,1.0
supplementary motor area proper,U,1,2,0.5,
anterior cingulate ba 10,L,1,1,1.0,1.0
anterior cingulate ba 24,U,1,1,0.0,
anterior cingulate ba 25,L,1,1,1.0,1.0
anterior cingulate ba 32,U,1,2,0.5,
anterior cingulate ba 9 32,L,1,1,1.0,1.0
anterior cingulate cl,U,1,1,0.0,
anterior cingulate cortex 11 32,U,1,1,1.0,
anterior cingulate cortex 24 32,U,1,2,0.5,
tapatum,L,1,1,0.0,0.0
te1,U,1,1,1.0,
anterior cingulate 24,L,1,1,1.0,1.0
anterior cingulate and medial prefrontal,R,1,1,0.0,1.0
anterior cingulate and paracingulate gyrus,L,1,1,1.0,1.0
anterior cingulate and paracingulate gyrus,R,1,1,0.0,1.0
anterior cingulate and paracingulate gyrus,U,1,4,0.75,
anterior cingulate and supplementary motor cortex,U,1,1,0.0,
supramarginal gyurs,U,1,1,1.0,
supramarginal parietal lobule,R,1,1,0.0,1.0
supramarginalgyrus 40,U,1,1,1.0,
supramarginalis,U,1,2,0.5,
supran,U,1,2,0.5,
suprmarg,L,1,1,1.0,1.0
suprmarg gyrs,U,1,1,0.0,
t o junction,U,1,1,1.0,
supramarginal gyrus 40,R,1,1,0.0,1.0
supramarginal gyrus and postcentral sulcus,U,1,1,1.0,
supramarginal gyrus anterior division,U,1,1,1.0,
supramarginal gyrus ba 1,U,1,1,1.0,
supramarginal gyrus ba 48,R,1,1,0.0,1.0
supramarginal gyrus posterior division,U,1,1,0.0,
supramarginal gyrusa,R,1,1,0.0,1.0
supramarginal gyurs,L,1,1,1.0,1.0
temporal middle lobe,U,1,2,1.0,
temporal middle pole,U,1,1,1.0,
temporal network,U,1,1,0.0,
temporal occipital cortex,L,1,1,1.0,1.0
temporal occipital fusiform cortex,R,1,4,0.0,1.0
temporal occipital fusiform cortex,U,1,1,1.0,
temporal occipital fusiform gyrus,U,1,1,1.0,
temporal parietal junction,L,1,1,1.0,1.0
temporal inferior,R,1,1,0.0,1.0
temporal lobe 20 21,U,1,1,1.0,
temporal lobe 28 34,U,1,1,0.0,
temporal lobe fusiform gyrus,L,1,1,1.0,1.0
temporal lobe stg,U,1,6,1.0,
temporal mid 21,U,1,1,1.0,
temporal midbrain,U,1,1,0.0,
temporal middle,R,1,1,0.0,1.0
temp pole,L,1,1,1.0,1.0
tempo parietal junction,L,1,1,1.0,1.0
temporal cortex,L,1,1,1.0,1.0
temporal fusiform cortex,L,1,1,1.0,1.0
temporal fusiform cortex,R,1,1,0.0,1.0
temporal fusiform cortex,U,1,1,1.0,
temporal gyrus,R,1,1,0.0,1.0
temporal inferior,L,1,2,1.0,1.0
anterior cingulate cortex 32,U,1,4,0.5,
anterior cingulate cortex and,B,1,2,1.0,
anterior cingulate cortex ba 24,R,1,1,0.0,1.0
anterior cingulate cortex ba 24,U,1,1,1.0,
anterior cingulate cortex ba 24 32,U,1,1,0.0,
anterior cingulate cortex ba 32,L,1,1,1.0,1.0
anterior cingulate cortex ba 33,R,1,1,0.0,1.0
anterior cingulate cortex wm,R,1,1,0.0,1.0
ant mtg sts,U,1,1,1.0,
ant sts,L,1,2,1.0,1.0
ant thalamus,L,1,1,1.0,1.0
anteiror cingulum,U,1,2,0.5,
anterio cingulate,U,1,1,0.0,
anterior and middle cingulate cortex,U,1,1,0.0,
anterior and superior corona radiata,L,1,1,1.0,1.0
anterior calcarine sulcus,U,1,1,1.0,
ant hippocampus,L,1,2,1.0,1.0
ant inferior temporal gyrus,U,1,1,1.0,
ant ins,L,1,1,1.0,1.0
ant ins,R,1,2,0.0,1.0
ant insula cl,U,1,1,0.0,
ant lobe cerebellum culmen,R,1,1,0.0,1.0
ant mtg,L,1,1,1.0,1.0
ant mtg itg,U,1,1,1.0,
temporal pole ba 48,L,1,1,1.0,1.0
temporal pole mid,L,1,1,1.0,1.0
temporal pole mid,U,1,1,1.0,
temporal pole middle,R,1,1,0.0,1.0
ant cingulate gyrus,R,1,1,0.0,1.0
ant cingulum,L,1,1,1.0,1.0
ant fusiform,L,1,1,1.0,1.0
ant fusiform,R,1,1,0.0,1.0
temporal parietal occipital,L,1,1,1.0,1.0
temporal parietal occipital,R,1,1,0.0,1.0
temporal parieto occipital c,U,1,1,1.0,
temporal pole 20 38,U,1,1,0.0,
temporal pole 38,R,1,1,0.0,1.0
temporal pole and lateral superior temporal gyrus,U,1,1,0.0,
temporal pole ba 20,L,1,1,1.0,1.0
temporal pole ba 38,U,1,2,1.0,
temporo parietal white matter,R,1,1,0.0,1.0
temporoparietal cortex,L,1,1,1.0,1.0
temporoparietal junction ba 7,R,1,1,0.0,1.0
temporopolar,L,1,1,1.0,1.0
temporopolar,R,1,1,0.0,1.0
termporal mid,R,1,1,0.0,1.0
ternporal mid,R,1,3,0.0,1.0
thal,L,1,1,1.0,1.0
temporo occipital gyrus,L,1,2,1.0,1.0
temporo occipital junction,L,1,1,1.0,1.0
temporo occipital sulcus,L,1,1,1.0,1.0
temporo parietal,L,1,1,1.0,1.0
temporo parietal area,R,1,1,0.0,1.0
